frame,TP,FP,FN,precision,recall,mota
152,3,0,1,1.0,0.75,0.75
153,3,0,1,1.0,0.75,0.75
154,3,0,1,1.0,0.75,0.75
155,3,0,1,1.0,0.75,0.75
156,3,0,1,1.0,0.75,0.75
157,3,0,1,1.0,0.75,0.75
158,3,0,1,1.0,0.75,0.75
159,3,0,1,1.0,0.75,0.75
160,3,0,1,1.0,0.75,0.75
161,3,0,1,1.0,0.75,0.75
162,3,0,1,1.0,0.75,0.75
163,3,0,1,1.0,0.75,0.75
164,4,0,0,1.0,1.0,1.0
165,3,0,1,1.0,0.75,0.75
166,3,0,1,1.0,0.75,0.75
167,4,0,0,1.0,1.0,1.0
168,4,0,0,1.0,1.0,1.0
169,3,0,1,1.0,0.75,0.75
170,3,0,1,1.0,0.75,0.75
171,3,0,2,1.0,0.6,0.6
172,3,0,2,1.0,0.6,0.6
173,3,0,2,1.0,0.6,0.6
174,3,0,2,1.0,0.6,0.6
175,3,0,2,1.0,0.6,0.6
176,3,0,2,1.0,0.6,0.6
177,3,0,2,1.0,0.6,0.6
178,3,0,2,1.0,0.6,0.6
179,3,0,2,1.0,0.6,0.6
180,3,0,2,1.0,0.6,0.6
181,3,0,2,1.0,0.6,0.6
182,3,0,2,1.0,0.6,0.6
183,3,0,2,1.0,0.6,0.6
184,3,0,2,1.0,0.6,0.6
185,3,0,2,1.0,0.6,0.6
186,3,0,2,1.0,0.6,0.6
187,3,0,2,1.0,0.6,0.6
188,3,0,2,1.0,0.6,0.6
189,3,0,2,1.0,0.6,0.6
190,3,0,2,1.0,0.6,0.6
191,3,0,2,1.0,0.6,0.6
192,3,0,2,1.0,0.6,0.6
193,3,0,2,1.0,0.6,0.6
194,3,0,2,1.0,0.6,0.6
195,3,0,2,1.0,0.6,0.6
196,3,0,2,1.0,0.6,0.6
197,3,0,2,1.0,0.6,0.6
198,3,0,2,1.0,0.6,0.6
199,3,0,2,1.0,0.6,0.6
200,3,0,2,1.0,0.6,0.6
201,3,0,2,1.0,0.6,0.6
202,3,0,2,1.0,0.6,0.6
203,3,0,2,1.0,0.6,0.6
204,3,0,2,1.0,0.6,0.6
205,3,0,2,1.0,0.6,0.6
206,3,0,2,1.0,0.6,0.6
207,3,0,2,1.0,0.6,0.6
208,3,0,2,1.0,0.6,0.6
209,3,0,2,1.0,0.6,0.6
210,3,0,2,1.0,0.6,0.6
211,3,0,2,1.0,0.6,0.6
212,3,0,2,1.0,0.6,0.6
213,3,0,2,1.0,0.6,0.6
214,3,0,2,1.0,0.6,0.6
215,3,0,2,1.0,0.6,0.6
216,3,0,2,1.0,0.6,0.6
217,3,0,2,1.0,0.6,0.6
218,3,0,2,1.0,0.6,0.6
219,3,0,2,1.0,0.6,0.6
220,3,0,2,1.0,0.6,0.6
221,3,0,2,1.0,0.6,0.6
222,3,0,2,1.0,0.6,0.6
223,3,0,2,1.0,0.6,0.6
224,3,0,2,1.0,0.6,0.6
225,3,0,2,1.0,0.6,0.6
226,3,0,2,1.0,0.6,0.6
227,3,0,2,1.0,0.6,0.6
228,3,0,2,1.0,0.6,0.6
229,3,0,1,1.0,0.75,0.75
230,3,0,1,1.0,0.75,0.75
231,3,0,1,1.0,0.75,0.75
232,3,0,1,1.0,0.75,0.75
233,3,0,1,1.0,0.75,0.75
234,3,0,1,1.0,0.75,0.75
235,3,0,1,1.0,0.75,0.75
236,3,0,1,1.0,0.75,0.75
237,3,0,1,1.0,0.75,0.75
